open,high,low,close,volume,vwap,timestamp,transactions,otc
470.0,470.0,470.0,470.0,153,470.0,1620393780000,2,
473.44,474.405,472.015,474.205,36304,473.3912,1620394200000,169,
472.69,474.06,472.69,474.06,1194,473.2553,1620394260000,43,
473.54,475.24,473.54,474.38,8824,474.5136,1620394320000,155,
474.62,475.24,474.3,475.17,8082,474.7318,1620394380000,126,
474.92,475.58,474.74,474.905,3570,474.9771,1620394440000,105,
474.87,475.4,474.0,475.085,6536,474.6459,1620394500000,159,
475.15,476.08,475.15,475.83,4066,475.5818,1620394560000,99,
475.781,476.02,474.26,475.245,4035,475.5079,1620394620000,130,
475.51,475.51,474.69,475.44,2554,475.141,1620394680000,67,
475.26,475.69,475.0,475.0,2108,475.2307,1620394740000,34,
475.49,475.73,475.08,475.7246,7275,475.4509,1620394800000,150,
475.22,476.04,475.17,476.04,13295,475.6273,1620394860000,212,
476.2,476.35,475.94,475.9608,2411,476.0593,1620394920000,58,
476.11,476.36,475.9,476.02,1995,476.1066,1620394980000,40,
476.01,476.6,476.01,476.27,2119,476.3371,1620395040000,66,
476.44,476.5,475.82,476.24,9633,476.1527,1620395100000,186,
476.33,477.29,476.09,477.25,10844,476.4778,1620395160000,209,
477.125,477.92,477.125,477.38,6651,477.4527,1620395220000,214,
477.7,477.975,477.25,477.975,5281,477.7511,1620395280000,233,
477.925,478.29,477.65,477.965,7027,477.9539,1620395340000,179,
478.24,478.54,477.93,478.54,3815,478.2379,1620395400000,126,
478.65,478.99,478.51,478.74,9363,478.7673,1620395460000,265,
478.77,478.92,477.44,477.62,16041,478.6075,1620395520000,281,
477.1901,477.1901,477.1901,477.1901,1781,477.4707,1620395580000,77,
476.9,477.64,476.9,477.18,2138,477.3006,1620395640000,74,
477.365,477.91,477.08,477.7451,7054,477.4042,1620395700000,133,
478.14,478.2,478.01,478.01,3188,478.0432,1620395760000,111,
477.91,478.23,477.84,477.95,1791,478.0566,1620395820000,81,
477.64,477.64,476.7,476.7,2170,477.1994,1620395880000,89,
476.77,476.95,476.48,476.95,6451,476.7389,1620395940000,199,
476.88,477.09,476.28,476.4,4336,476.6552,1620396000000,126,
476.2072,476.465,476.03,476.465,1525,476.2945,1620396060000,54,
476.465,476.93,476.465,476.93,1224,476.7306,1620396120000,47,
477.3,477.36,477.3,477.355,1123,477.2637,1620396180000,51,
477.37,477.78,477.2,477.64,3846,477.521,1620396240000,89,
477.79,477.8,477.66,477.66,1606,477.7373,1620396300000,67,
477.86,478.0,477.6573,478.0,3670,477.7678,1620396360000,117,
478.09,478.09,477.76,477.76,1817,477.8436,1620396420000,74,
477.89,478.24,477.89,478.24,1895,478.0627,1620396480000,84,
478.12,478.64,478.12,478.48,2854,478.3532,1620396540000,121,
478.4,478.55,477.73,477.84,4994,478.2102,1620396600000,156,
477.83,477.83,477.21,477.47,1357,477.5721,1620396660000,50,
477.33,477.475,477.21,477.475,1870,477.3672,1620396720000,60,
477.61,477.645,477.61,477.635,1603,477.644,1620396780000,53,
477.615,477.645,477.19,477.43,2531,477.4092,1620396840000,64,
477.64,477.77,477.585,477.585,2498,477.6292,1620396900000,73,
477.5,477.83,477.28,477.765,2856,477.5497,1620396960000,86,
477.765,477.765,477.53,477.53,1451,477.5581,1620397020000,50,
477.51,477.52,477.03,477.07,4823,477.2305,1620397080000,166,
477.135,477.24,476.88,477.12,1699,477.0955,1620397140000,54,
476.95,477.73,476.79,477.71,13894,477.1519,1620397200000,163,
477.71,477.71,477.42,477.6599,3036,477.5803,1620397260000,65,
477.54,477.95,477.42,477.95,3337,477.6396,1620397320000,73,
477.95,477.99,477.82,477.99,2912,477.9071,1620397380000,87,
477.88,478.0201,477.86,477.9,2418,477.9012,1620397440000,62,
477.92,477.9786,477.71,477.72,3348,477.8572,1620397500000,96,
477.6161,478.08,477.6161,477.88,1546,477.8898,1620397560000,40,
478.13,478.32,477.98,478.22,3449,478.1207,1620397620000,112,
478.22,478.23,477.91,477.91,2519,478.0734,1620397680000,61,
477.92,478.2599,477.92,477.99,2456,478.0617,1620397740000,57,
477.99,478.21,477.945,478.04,7618,477.9752,1620397800000,106,
478.09,478.27,477.86,478.035,7277,478.0939,1620397860000,118,
478.04,478.05,477.555,477.555,5774,477.9473,1620397920000,94,
477.47,477.565,477.17,477.565,4105,477.4203,1620397980000,122,
477.57,477.57,477.57,477.57,514,477.6827,1620398040000,20,
477.49,477.81,477.49,477.81,1724,477.6853,1620398100000,59,
477.82,477.82,477.65,477.79,2540,477.7124,1620398160000,98,
477.7,477.7,477.7,477.7,779,477.6699,1620398220000,46,
477.72,477.72,477.52,477.54,2498,477.6315,1620398280000,75,
477.63,477.63,477.2,477.2,1820,477.4848,1620398340000,80,
477.3,477.3,476.62,476.62,4415,477.3846,1620398400000,87,
476.755,476.885,476.75,476.8,1840,476.8329,1620398460000,95,
476.69,476.7,476.5,476.5,1768,476.6491,1620398520000,60,
476.61,476.95,476.3,476.3,6519,476.6526,1620398580000,173,
476.3,476.47,476.17,476.23,3298,476.3137,1620398640000,99,
476.2787,476.58,476.27,476.46,3520,476.4476,1620398700000,61,
476.64,476.76,476.19,476.31,3768,476.4542,1620398760000,121,
476.19,476.19,475.85,475.85,1678,476.021,1620398820000,71,
475.72,475.85,475.5,475.85,4514,475.6657,1620398880000,98,
475.89,476.095,475.86,476.04,2199,475.9698,1620398940000,80,
476.14,476.19,476.02,476.1,3945,476.2506,1620399000000,61,
